,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
1477,木夭丑友什67ab30ba,1.0,293.0,1138.0,342.0,21.0,1992,2,0,0.0,3.044522437723423
1478,木夭丑友什67ab30bb,0.902,358.0,1130.0,245.0,15.0,1991,0,0,-0.10314075891951337,2.70805020110221
1479,木夭丑友什67ab31aa,1.291,269.0,851.0,190.0,12.0,1991,1,0,0.2554171118645054,2.4849066497880004
1480,木夭丑友什67ab31ab,1.291,328.0,1455.0,402.0,21.0,1991,0,0,0.2554171118645054,3.044522437723423
1481,木夭丑友什67ab31ba,1.291,124.0,505.0,146.0,19.0,1995,1,0,0.2554171118645054,2.9444389791664403
1482,木夭丑友什67ab31bb,2.786,49.0,218.0,40.0,36.0,2002,1,6,1.024606875357614,3.58351893845611
1484,木夭丑友什67ab32ab,2.279,23.0,72.0,10.0,6.0,2003,0,0,0.8237367502635472,1.791759469228055
1485,木夭丑友什67ab32ba,2.279,16.0,49.0,9.0,18.0,2003,1,4,0.8237367502635472,2.8903717578961645
1486,木夭丑友什67ab32bb,2.279,26.0,85.0,15.0,15.0,2006,2,7,0.8237367502635472,2.70805020110221
1487,木夭丑友什67ab33aa,1.797,23.0,87.0,14.0,14.0,2003,1,7,0.586118607801422,2.6390573296152584
1488,木夭丑友什67ab33ab,2.136,101.0,298.0,66.0,57.0,2004,1,17,0.7589349210979485,4.04305126783455
1489,木夭丑友什67ab33ba,1.414,0.0,12.0,0.0,7.0,2005,0,2,0.34642256747438094,1.9459101490553132
1491,木夭丑友什67ab34aa,1.414,68.0,285.0,90.0,14.0,1995,0,2,0.34642256747438094,2.6390573296152584
1492,木夭丑友什67ab34ab,0.892,535.0,1123.0,195.0,21.0,1994,3,1,-0.11428914640212766,3.044522437723423
1493,木夭丑友什67ab34ba,0.892,400.0,876.0,77.0,94.0,1997,3,17,-0.11428914640212766,4.543294782270004
1494,木夭丑友什67ab34bb,0.892,133.0,535.0,39.0,103.0,1997,3,25,-0.11428914640212766,4.634728988229636
1495,木夭丑友什67ab35aa,1.772,485.0,905.0,151.0,31.0,1993,3,1,0.5721088521828892,3.4339872044851463
1496,木夭丑友什67ab35ab,1.772,264.0,909.0,256.0,21.0,2001,1,0,0.5721088521828892,3.044522437723423
1497,木夭丑友什67ab35ba,1.504,156.0,772.0,276.0,61.0,2012,3,0,0.4081282255276481,4.110873864173311
1498,木夭丑友什67ab35bb,2.115,31.0,133.0,26.0,26.0,2010,1,2,0.7490548124982414,3.258096538021482
1501,木夭丑友什67ab36ba,1.485,140.0,362.0,26.0,43.0,2002,2,14,0.395414772254663,3.7612001156935624
1502,木夭丑友什67ab36bb,1.485,646.0,1368.0,135.0,184.0,1996,2,37,0.395414772254663,5.214935757608986
1503,木夭丑友什67ab37aa,0.762,305.0,546.0,25.0,176.0,1993,4,29,-0.2718087232954908,5.170483995038151
1504,木夭丑友什67ab37ab,0.762,140.0,249.0,16.0,107.0,1990,1,16,-0.2718087232954908,4.672828834461906
1505,木夭丑友什67ab37ba,0.198,647.0,1066.0,96.0,488.0,1989,5,82,-1.6194882482876019,6.1903154058531475
1506,木夭丑友什67ab37bb,0.447,587.0,1117.0,118.0,342.0,1989,7,58,-0.8051966843685682,5.834810737062605
1507,木夭丑友什67ab38aa,0.447,402.0,736.0,68.0,254.0,1988,4,45,-0.8051966843685682,5.537334267018537
1508,木夭丑友什67ab38ab,0.606,452.0,898.0,132.0,224.0,1990,6,42,-0.5008752929128226,5.4116460518550396
1509,木夭丑友什67ab38ba,0.606,724.0,1456.0,130.0,570.0,1989,4,84,-0.5008752929128226,6.345636360828596
1510,木夭丑友什67ab38bb,0.907,389.0,953.0,114.0,309.0,1989,3,48,-0.09761282886700041,5.733341276897746
1512,木夭丑友什67ab39ab,0.207,40.0,138.0,14.0,14.0,2004,2,1,-1.575036485716768,2.6390573296152584
1513,木夭丑友什67ab39ba,0.207,123.0,406.0,41.0,49.0,2003,1,4,-1.575036485716768,3.8918202981106265
1516,木夭丑友什67ab40ab,1.674,26.0,85.0,21.0,18.0,2001,1,2,0.5152159720672835,2.8903717578961645
1517,木夭丑友什67ab40ba,1.67,44.0,123.0,16.0,16.0,2004,1,1,0.5128236264286637,2.772588722239781
1518,木夭丑友什67ab40bb,2.316,59.0,206.0,22.0,31.0,2005,1,1,0.8398415597107487,3.4339872044851463
1534,木夭丑友什67ba29bb,1.362,10.0,24.0,8.0,5.0,1990,1,0,0.3089542077273207,1.6094379124341003
1535,木夭丑友什67ba30aa,1.373,116.0,283.0,58.0,37.0,2001,2,0,0.316998126785834,3.6109179126442243
1536,木夭丑友什67ba30ab,1.373,241.0,759.0,207.0,16.0,1995,1,0,0.316998126785834,2.772588722239781
1537,木夭丑友什67ba30ba,1.373,235.0,855.0,216.0,21.0,1992,3,0,0.316998126785834,3.044522437723423
1538,木夭丑友什67ba30bb,1.394,256.0,771.0,128.0,25.0,1994,3,0,0.3321773123383321,3.2188758248682006
1539,木夭丑友什67ba31aa,1.394,249.0,1022.0,293.0,20.0,1991,1,0,0.3321773123383321,2.995732273553991
1540,木夭丑友什67ba31ab,1.141,73.0,274.0,75.0,6.0,1998,0,0,0.1319050708799386,1.791759469228055
1541,木夭丑友什67ba31ba,1.604,10.0,18.0,0.0,7.0,1999,1,0,0.4725005094443228,1.9459101490553132
1542,木夭丑友什67ba31bb,1.836,97.0,350.0,58.0,48.0,2004,1,13,0.6075892921982987,3.871201010907891
1543,木夭丑友什67ba32aa,2.58,8.0,15.0,0.0,2.0,2002,0,0,0.9477893989335261,0.6931471805599453
1544,木夭丑友什67ba32ab,2.92,62.0,144.0,15.0,21.0,2002,0,4,1.0715836162801904,3.044522437723423
1545,木夭丑友什67ba32ba,2.92,143.0,373.0,46.0,30.0,2002,2,17,1.0715836162801904,3.4011973816621555
