설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 중원구 희망로367번길27-1,경기도 성남시 중원구 상대원동 3600,37.4384374,127.1551543,2018.8.16
1,경기도 성남시 중원구 희망로359번길28-1,경기도 성남시 중원구 상대원동 3610,37.437942,127.1550177,2018.8.16
1,경기도 성남시 중원구 희망로359번길16-11,경기도 성남시 중원구 상대원동 3496,37.4383277,127.1563971,2018.8.16
1,경기도 성남시 중원구 희망로367번길8-8,경기도 성남시 중원구 상대원동 3178,37.4388305,127.1577088,2018.8.16
1,경기도 성남시 중원구 희망로353번길32,경기도 성남시 중원구 상대원동 3975,37.4373297,127.154734,2018.8.16
1,경기도 성남시 중원구 희망로359번길38-3,경기도 성남시 중원구 상대원동 3693,37.4380516,127.1538767,2018.8.16
1,경기도 성남시 중원구 희망로359번길40-8,경기도 성남시 중원구 상대원동 3699,37.4382499,127.1537867,2018.8.16
1,경기도 성남시 중원구 희망로359번길35,경기도 성남시 중원구 상대원동 4000,37.4378348,127.154317,2018.8.16
1,경기도 성남시 중원구 희망로353번길32-13,경기도 성남시 중원구 상대원동 3985,37.4377714,127.1545428,2018.8.16
1,경기도 성남시 중원구 희망로353번길36-12,경기도 성남시 중원구 상대원동 4013,37.4377178,127.1542037,2018.8.16
1,경기도 성남시 중원구 희망로353번길34,경기도 성남시 중원구 상대원동 3992,37.4373571,127.154429,2018.8.16
1,경기도 성남시 중원구 박석로71번길2-1,경기도 성남시 중원구 상대원동 2061,37.4389104,127.1653136,2018.8.16
1,경기도 성남시 중원구 박석로79번길5-1,경기도 성남시 중원구 상대원동 2106,37.4392174,127.164851,2018.8.16
1,경기도 성남시 중원구 중앙동 3420,경기도 성남시 중원구 중동 3420,37.4381873,127.146182,2018.8.16
1,경기도 성남시 중원구 은행로7번길 17,경기도 성남시 중원구 은행동 1619,37.4559415,127.1637116,2018.8.16
1,경기도 성남시 중원구 희망로343번길35-7,경기도 성남시 중원구 상대원동 4638,37.436222,127.1542911,2018.8.16
1,경기도 성남시 중원구 희망로335번길38-6,경기도 성남시 중원구 상대원동 4656,37.4359695,127.1544601,2018.8.16
1,경기도 성남시 중원구 희망로335번길36-4,경기도 성남시 중원구 상대원동 4668,37.4357712,127.1545388,2018.8.16
1,경기도 성남시 중원구 희망로335번길30-11,경기도 성남시 중원구 상대원동 4643,37.4361405,127.1546751,2018.8.16
1,경기도 성남시 중원구 희망로335번길30-9,경기도 성남시 중원구 상대원동 4653,37.4360503,127.1547088,2018.8.16
1,경기도 성남시 중원구 상대원동 4392,경기도 성남시 중원구 상대원동 4392,37.4370532,127.152564,2018.8.16
1,경기도 성남시 중원구 금상로118번길11,경기도 성남시 중원구 상대원동 708,37.4418543,127.1670715,2018.8.16
