year,cctv,light,pa,ep,fp,yp,nb,label,gid
1,0,0,1.695050825,-0.343115124,-0.341052632,-0.323076923,-0.195121951,0,木夭丑友什64ba30ba
1,1,1,1.695050825,-0.306997743,-0.301754386,-0.269230769,0.162601626,0,木夭丑友什64ba30bb
1,1,1,1.249125146,-0.212189616,-0.21754386,-0.176923077,0.585365854,0,木夭丑友什64ba31aa
1,1,1,1.237793701,-0.343115124,-0.311578947,-0.276923077,-0.097560976,0,木夭丑友什64ba31bb
1,1,1,1.237793701,-0.284424379,-0.214736842,-0.076923077,0.682926829,0,木夭丑友什64ba32aa
1,1,1,1.237793701,-0.180586907,-0.065964912,0.184615385,1.983739837,0,木夭丑友什64ba32ab
1,1,1,0.769871688,-0.225733634,-0.155789474,-0.084615385,0.975609756,0,木夭丑友什64ba32ba
1,1,1,0.611231461,-0.288939052,-0.232982456,-0.107692308,0.715447154,0,木夭丑友什64ba32bb
1,1,1,0.569905016,-0.297968397,-0.234385965,-0.123076923,0.617886179,0,木夭丑友什64ba33aa
1,1,1,0.184635894,-0.343115124,-0.25122807,-0.323076923,-0.357723577,0,木夭丑友什64ba33bb
1,0,0,0.561906349,-0.216704289,-0.258245614,-0.238461538,0.227642276,0,木夭丑友什64ba34bb
1,0,0,0.425929012,-0.343115124,-0.341052632,-0.323076923,-0.292682927,0,木夭丑友什64ba35aa
1,0,0,0.26662223,-0.266365688,-0.310175439,-0.323076923,0.06504065,0,木夭丑友什64ba35ba
0,1,1,0.26662223,-0.270880361,-0.301754386,-0.323076923,0.325203252,0,木夭丑友什64ba35bb
1,1,1,0.26662223,-0.081264108,-0.050526316,0.123076923,1.008130081,0,木夭丑友什64ba36aa
1,1,1,-0.251958007,-0.112866817,-0.050526316,0.146153846,0,0,木夭丑友什64ba36ab
1,0,0,-0.56323946,-0.004514673,0.106666667,0.176923077,0.130081301,0,木夭丑友什64ba36ba
1,0,0,-0.073321113,1.309255079,0.642807018,0.446153846,0.617886179,2,木夭丑友什64ba36bb
0,0,0,-0.073321113,-0.144469526,-0.206315789,-0.269230769,-0.487804878,0,木夭丑友什64ba37aa
1,0,0,-0.073321113,-0.343115124,-0.332631579,-0.323076923,-0.097560976,0,木夭丑友什64ba37ab
0,1,1,0.333944343,-0.306997743,-0.329824561,-0.323076923,-0.422764228,0,木夭丑友什64ba38ab
0,0,0,0.333944343,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什64ba38ba
1,0,0,0.333944343,-0.261851016,-0.286315789,-0.253846154,-0.130081301,0,木夭丑友什64ba38bb
1,1,1,0.677220463,0.054176072,-0.05754386,-0.084615385,2.016260163,0,木夭丑友什64ba39aa
0,1,1,0.677220463,-0.316027088,-0.324210526,-0.323076923,-0.390243902,0,木夭丑友什64ba39ab
1,0,0,1.263122813,-0.288939052,-0.321403509,-0.323076923,-0.195121951,0,木夭丑友什64ba39ba
1,0,0,0.001999667,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什64bb27ab
1,0,0,-0.803199467,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什64bb28aa
1,0,0,-0.952507915,-0.343115124,-0.341052632,-0.323076923,-0.260162602,0,木夭丑友什64bb28ab
1,0,0,0.163972671,-0.343115124,-0.341052632,-0.323076923,-0.357723577,0,木夭丑友什64bb28ba
