gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗628355,127.0801616,37.41834438,8,0,0,0,0,,,,,4,1,,2010.75,0,6
ㅼ궗666316,127.1232812,37.38333596,182,112,70,8,0,0,31,23,8,2,1,,1994,0,0
ㅼ궗679400,127.1376009,37.45909612,0,,0,,,,,,,,,,,0,2
ㅼ궗685364,127.1445387,37.42666784,57,25,32,0,0,0,15,6,9,5,1,3,1990.2,0,2
ㅼ궗675312,127.1334649,37.37976244,130,66,64,12,7,0,30,14,16,1,1,,1992,0,0
ㅼ궗682390,127.1410361,37.45009291,516,244,272,19,11,8,101,59,42,96,1,92,1991.43,0,12
ㅼ궗679407,127.1375704,37.4654056,83,50,33,0,0,0,23,19,0,9,,6,2015.67,0,2
ㅼ궗684388,127.1433058,37.44829705,188,99,89,22,10,12,46,27,19,17,5,6,1996.76,2,3
ㅼ궗598315,127.0464764,37.38216498,0,,0,,,,0,,0,1,,1,1932,0,0
ㅼ궗680386,127.1387923,37.4464806,445,221,224,31,16,15,88,49,39,35,4,27,1992.63,1,8
ㅼ궗650286,127.1053498,37.35623605,706,368,338,109,60,49,59,34,25,,,,,0,0
ㅼ궗660268,127.1167239,37.34004853,583,310,273,71,38,33,75,38,37,4,4,,1995,0,0
ㅼ궗657304,127.1131706,37.37248676,224,109,115,7,0,0,26,11,15,27,,26,1994.52,0,5
ㅼ궗675369,127.1332145,37.43114011,289,157,132,17,11,6,57,35,22,27,5,14,1999.69,0,4
ㅼ궗623323,127.0746743,37.38948077,389,207,182,47,23,24,63,38,25,8,7,,2009,1,0
ㅼ궗657284,127.1132632,37.35445942,336,171,165,49,22,27,52,31,21,2,2,,1994.5,0,0
ㅼ궗688350,127.1479884,37.41405892,668,336,332,99,44,55,82,40,42,22,21,,2010,0,0
ㅼ궗640365,127.093674,37.42740532,0,,0,,,,,,,1,,,2020,0,0
ㅼ궗668393,127.1251946,37.45274784,0,,0,,,,,,,,,,,0,1
ㅼ궗662266,127.1189908,37.33825308,599,295,304,69,37,32,74,32,42,3,3,,1995.33,0,0
ㅼ궗670397,127.1274379,37.45636041,224,110,114,21,11,10,35,20,15,18,,13,2002.72,0,5
ㅼ궗697389,127.1579989,37.44924185,605,327,278,58,30,28,151,89,62,23,4,12,1994.78,2,4
ㅼ궗648364,127.1027206,37.4265347,15,0,10,,,,8,0,6,9,,3,1995.44,0,1
ㅼ궗700391,127.1613824,37.45105433,377,187,190,25,12,13,90,47,43,56,1,48,1989.62,0,11
ㅼ궗680348,127.1389568,37.41222894,187,93,94,13,0,8,26,12,14,6,3,,1999.17,0,0
ㅼ궗673342,127.1310733,37.40679634,502,262,240,64,36,28,100,53,47,9,9,,1994,0,0
ㅼ궗681299,127.1402979,37.36806546,143,71,72,10,0,0,29,15,14,5,2,3,1998.4,0,0
ㅼ궗657293,127.1132215,37.36257173,396,202,194,55,28,27,39,23,16,6,2,,1994.5,0,0
ㅼ궗714412,127.1771293,37.47002715,0,,0,,,,0,,0,1,,,1997,0,0
ㅼ궗682375,127.1411007,37.43657255,579,275,304,39,24,15,68,35,33,15,1,3,1997.6,1,7
ㅼ궗681378,127.1399574,37.43927319,487,221,266,12,0,10,117,70,47,105,1,99,1989.51,3,17
ㅼ궗705377,127.1670913,37.43845135,110,51,59,0,0,0,26,16,10,15,1,12,1987.73,1,3
ㅼ궗662337,127.118667,37.4022501,489,262,227,78,39,39,51,28,23,2,2,,2010,0,0
ㅼ궗679412,127.1375487,37.46991237,373,194,179,50,24,26,55,30,25,2,2,,2016,0,0
ㅼ궗608293,127.0578882,37.36237785,25,12,13,0,,0,0,0,0,3,1,2,1996.67,0,0
ㅼ궗640338,127.0938055,37.40306868,69,38,31,14,7,7,6,0,0,17,,17,2013.12,2,4
ㅼ궗662312,127.1187812,37.37971602,154,79,75,28,11,17,20,11,9,12,4,,1992,0,0
ㅼ궗644364,127.0981997,37.42651942,288,153,135,29,14,15,41,21,20,2,2,,2020,0,0
ㅼ궗672273,127.1302488,37.3445985,0,0,0,,,,0,,0,,,,,0,0
ㅼ궗708377,127.1704825,37.43846086,8,0,0,0,0,0,0,,0,,,,,0,0
ㅼ궗657306,127.1131614,37.37428949,60,34,26,0,0,0,10,0,0,7,1,5,1994,0,0
ㅼ궗638321,127.0916289,37.38773778,453,240,213,108,53,55,35,22,13,9,8,,2009,0,0
ㅼ궗663328,127.1198379,37.39414148,386,195,191,48,21,27,40,14,26,2,2,,2009,0,0
ㅼ궗658304,127.1143,37.37249045,224,106,118,6,0,0,28,13,15,26,,25,1995.19,0,7
ㅼ궗685298,127.1448195,37.36717775,309,144,165,14,7,7,33,15,18,19,,17,1997.79,2,4
ㅼ궗669366,127.1264462,37.4284148,71,36,35,11,0,8,7,0,0,6,,6,2017.17,0,6
