소재지지번주소,위도,경도,설치개수,구,동,세부주소
경기도 성남시 분당구 이매동 87-9번지 인근,37.39869626,127.1294431,1,분당구,이매동,87-9번지 인근
경기도 성남시 분당구 판교동 537-6번지,37.39755741,127.0988602,1,분당구,판교동,537-6번지
경기도 성남시 분당구 판교동,37.39210776,127.0979202,1,분당구,판교동,
경기도 성남시 분당구 판교동 537-3번지,37.39759087,127.0985209,1,분당구,판교동,537-3번지
경기도 성남시 분당구 판교동 535-11번지,37.3981391,127.0983337,1,분당구,판교동,535-11번지
경기도 성남시 분당구 판교동 535-12번지,37.398075,127.0981989,1,분당구,판교동,535-12번지
경기도 성남시 분당구 판교동 533-2번지,37.39812809,127.0968881,1,분당구,판교동,533-2번지
경기도 성남시 분당구 판교동 510-1번지,37.4004323,127.0965556,1,분당구,판교동,510-1번지
경기도 성남시 분당구 판교동 530-1번지,37.39886685,127.0980539,1,분당구,판교동,530-1번지
경기도 성남시 분당구 석운동 98-5번지,37.36909485,127.0440037,1,분당구,석운동,98-5번지
경기도 성남시 분당구 석운동 98-34번지,37.36923346,127.044431,1,분당구,석운동,98-34번지
경기도 성남시 분당구 석운동,37.3752807,127.0456754,1,분당구,석운동,
경기도 성남시 분당구 석운동,37.3752807,127.0456754,1,분당구,석운동,
경기도 성남시 분당구 석운동,37.3752807,127.0456754,1,분당구,석운동,
경기도 성남시 분당구 석운동,37.3752807,127.0456754,1,분당구,석운동,
경기도 성남시 분당구 석운동 106번지,37.36989779,127.0396695,1,분당구,석운동,106번지
경기도 성남시 분당구 석운동 106번지,37.36989779,127.0396695,1,분당구,석운동,106번지
경기도 성남시 분당구 석운동 108-5번지,37.37007945,127.0398478,1,분당구,석운동,108-5번지
경기도 성남시 분당구 석운동 126번지,37.37016012,127.0386839,1,분당구,석운동,126번지
경기도 성남시 분당구 석운동 산20-28번지,37.37048291,127.0384878,1,분당구,석운동,산20-28번지
경기도 성남시 분당구 석운동 산20-28번지,37.37048291,127.0384878,1,분당구,석운동,산20-28번지
경기도 성남시 분당구 이매동 산3번지 인근,37.39866529,127.1301324,1,분당구,이매동,산3번지 인근
경기도 성남시 분당구 이매동 87-20번지 인근,37.39889706,127.1297909,1,분당구,이매동,87-20번지 인근
경기도 성남시 분당구 이매동 76번지 인근,37.39835624,127.1309944,1,분당구,이매동,76번지 인근
경기도 성남시 분당구 이매동 85-1번지 인근,37.39860611,127.1306639,1,분당구,이매동,85-1번지 인근
경기도 성남시 분당구 이매동 84번지 인근,37.39867126,127.1309456,1,분당구,이매동,84번지 인근
경기도 성남시 분당구 이매동 9-4번지 인근,37.39954829,127.1313533,1,분당구,이매동,9-4번지 인근
경기도 성남시 분당구 이매동 9-15번지 인근,37.40015403,127.1316287,1,분당구,이매동,9-15번지 인근
경기도 성남시 분당구 판교동 640-5번지,37.38722026,127.0986224,1,분당구,판교동,640-5번지
경기도 성남시 분당구 판교동 641번지,37.38694368,127.0978013,1,분당구,판교동,641번지
경기도 성남시 분당구 이매동 28번지 인근 1호 번지,37.3986845,127.1339836,1,분당구,이매동,28번지 인근 1호 번지
경기도 성남시 분당구 이매동 28번지 인근 2호 번지,37.3986845,127.1339836,1,분당구,이매동,28번지 인근 2호 번지
경기도 성남시 분당구 이매동 65-24번지 인근,37.3980643,127.1329629,1,분당구,이매동,65-24번지 인근
경기도 성남시 분당구 이매동 47-1번지 인근,37.39778077,127.1336213,1,분당구,이매동,47-1번지 인근
경기도 성남시 분당구 이매동 62-13번지 인근,37.39748022,127.1331842,1,분당구,이매동,62-13번지 인근
경기도 성남시 분당구 이매동 63번지 인근 2호 번지,37.39715693,127.1333348,1,분당구,이매동,63번지 인근 2호 번지
경기도 성남시 분당구 이매동 64-29번지 인근,37.39717264,127.1330184,1,분당구,이매동,64-29번지 인근
경기도 성남시 분당구 이매동 48-4번지 인근,37.39746351,127.1345962,1,분당구,이매동,48-4번지 인근
경기도 성남시 분당구 이매동 49-5번지 인근,37.39693258,127.1346927,1,분당구,이매동,49-5번지 인근
경기도 성남시 분당구 판교동 531-3번지 판교 로,37.39839747,127.0979466,1,분당구,판교동,531-3번지 판교 로
경기도 성남시 분당구 판교동 530-1번지,37.39886685,127.0980539,1,분당구,판교동,530-1번지
