gid,pa,ep,fp,yp,cctv,light,pop,nb
¤ì‚¬61bb35bb,5.479,,,,0,0,,0
¤ì‚¬61bb36aa,5.354,,,,0,0,,0
¤ì‚¬61bb36ab,4.44,49,76,0,0,9,147,11
¤ì‚¬61bb36ba,4.44,27,63,0,0,0,123,9
¤ì‚¬61bb36bb,4.133,,,,0,0,,0
¤ì‚¬62aa28ba,4.628,,,,0,0,,0
¤ì‚¬62aa28bb,4.628,,,,0,0,,0
¤ì‚¬62aa29aa,4.347,,,,0,0,,0
¤ì‚¬62aa29ab,3.865,,,,0,0,,0
¤ì‚¬62aa29ba,3.865,,,,0,0,,0
¤ì‚¬62aa29bb,3.865,,,,0,0,,0
¤ì‚¬62aa30aa,3.082,,,,0,5,,0
¤ì‚¬62aa30ab,3.082,,,,0,4,,0
¤ì‚¬62aa30ba,2.107,,,,0,5,,0
¤ì‚¬62aa30bb,3.888,,,,0,0,,0
¤ì‚¬62aa31aa,2.012,,,,0,0,,0
¤ì‚¬62aa31ab,1.394,,,,0,0,,0
¤ì‚¬62aa31ba,1.394,37,100,17,2,0,182,0
¤ì‚¬62aa31bb,1.394,343,982,225,0,0,1937,0
¤ì‚¬62aa32aa,1.038,227,898,277,5,0,1772,0
¤ì‚¬62aa32ab,0.525,187,739,185,4,0,1440,0
¤ì‚¬62aa32ba,1.876,117,527,169,2,0,996,0
¤ì‚¬62aa32bb,18.176,75,520,186,4,0,994,0
¤ì‚¬62aa33aa,18.176,,,,0,0,,0
¤ì‚¬62aa33ab,18.176,,,,0,0,,0
¤ì‚¬62aa33ba,18.387,,,,0,0,,2
¤ì‚¬62aa33bb,3.182,0,0,,0,1,0,1
¤ì‚¬62aa34aa,5.378,,,,0,0,,0
¤ì‚¬62aa34ab,5.378,0,0,,0,5,0,5
¤ì‚¬62aa34ba,5.378,,,,0,2,,0
¤ì‚¬62aa34bb,5.22,,,,0,0,,0
¤ì‚¬62aa35aa,5.91,,,,0,0,,0
¤ì‚¬62aa35ab,5.91,,,,0,1,,0
¤ì‚¬62aa35ba,5.479,,,,0,0,,0
¤ì‚¬62aa35bb,5.479,,,,0,0,,0
¤ì‚¬62aa36aa,5.121,,,,0,0,,0
¤ì‚¬62aa36ab,4.44,14,35,0,1,1,64,6
¤ì‚¬62aa36ba,4.44,22,43,0,2,2,82,9
¤ì‚¬62aa36bb,4.133,6,12,0,2,6,31,10
¤ì‚¬62aa37aa,4.248,17,32,7,0,8,66,1
¤ì‚¬62aa37ab,4.248,0,0,,0,0,0,0
¤ì‚¬62aa37ba,4.248,,,,0,0,,0
¤ì‚¬62aa37bb,4.46,,,,0,0,,0
¤ì‚¬62aa38aa,4.46,,,,0,0,,0
¤ì‚¬62ab28aa,5.45,,,,0,0,,0
¤ì‚¬62ab28ab,4.628,6,7,,0,0,15,2
¤ì‚¬62ab28ba,4.628,,,,0,0,,0
¤ì‚¬62ab28bb,4.628,,,,0,0,,0
¤ì‚¬62ab29aa,3.832,,,,0,0,,0
¤ì‚¬62ab29ab,3.865,,,,0,0,,0
¤ì‚¬62ab29ba,3.865,,,,0,0,,0
¤ì‚¬62ab29bb,3.865,,,,0,0,,0
¤ì‚¬62ab30aa,3.082,,,,0,0,,0
¤ì‚¬62ab30ab,3.082,0,10,,0,0,20,0
¤ì‚¬62ab30ba,3.055,7,12,0,0,3,20,1
¤ì‚¬62ab30bb,3.055,,,,0,0,,0
¤ì‚¬62ab31aa,3.055,,,,0,16,,0
¤ì‚¬62ab31ab,1.394,,,,0,3,,0
¤ì‚¬62ab31ba,1.394,94,229,47,0,2,459,0
¤ì‚¬62ab31bb,0.892,105,254,64,1,0,486,0
¤ì‚¬62ab32aa,0.892,122,529,152,2,0,1022,0
¤ì‚¬62ab32ab,0.892,159,666,210,1,0,1279,0
¤ì‚¬62ab32ba,0.525,144,678,204,4,0,1319,0
¤ì‚¬62ab32bb,18.176,80,368,80,4,0,727,0
¤ì‚¬62ab33aa,18.176,,,,0,0,,0
¤ì‚¬62ab33ab,18.176,,,,0,0,,0
¤ì‚¬62ab33ba,2.628,,,,0,0,,0
¤ì‚¬62ab33bb,3.182,0,0,,0,0,8,0
¤ì‚¬62ab34aa,3.182,,,,0,0,,0
¤ì‚¬62ab34ab,5.22,,,,0,5,0,4
¤ì‚¬62ab34ba,5.22,,,,0,0,,0
¤ì‚¬62ab34bb,5.22,,,,0,0,,0
¤ì‚¬62ab35aa,5.588,,,,0,0,,0
¤ì‚¬62ab35ab,4.883,,,,0,0,,0
¤ì‚¬62ab35ba,4.883,,,,0,0,7,0
¤ì‚¬62ab35bb,4.883,0,0,,0,0,0,1
¤ì‚¬62ab36aa,6.677,,,,0,1,,0
¤ì‚¬62ab36ab,6.677,0,0,,0,0,0,0
¤ì‚¬62ab36ba,4.44,,,,0,0,,0
¤ì‚¬62ab36bb,4.133,0,0,,0,0,6,5
¤ì‚¬62ab37aa,4.248,19,31,0,0,4,57,12
¤ì‚¬62ab37ab,4.248,,,,0,0,,0
¤ì‚¬62ab37ba,4.248,,,,0,0,,0
¤ì‚¬62ab37bb,3.844,,,,0,0,,0
¤ì‚¬62ab38aa,4.46,,,,0,0,,0
¤ì‚¬62ba27bb,3.444,,,,0,0,,0
¤ì‚¬62ba28aa,5.45,0,0,,0,0,0,0
¤ì‚¬62ba28ab,5.45,0,0,0,0,0,6,1
¤ì‚¬62ba28ba,3.272,0,0,,0,0,0,0
¤ì‚¬62ba28bb,3.832,,,,0,0,,0
¤ì‚¬62ba29aa,3.832,,,,0,0,,0
¤ì‚¬62ba29ab,4.203,,,,0,0,,0
¤ì‚¬62ba29ba,4.203,,,,0,0,,0
