,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
1133,ㅼㅤㄱㅝㅀ639337,127.0926805,37.40216344,122.0,62.0,60.0,15.0,6.0,9.0,21.0,9.0,12.0,7.0,3.0,4.0,2011.29,2,1,3,1
1135,ㅼㅤㄱㅝㅀ695382,127.1557666,37.44292577,547.0,232.0,315.0,24.0,12.0,12.0,132.0,63.0,69.0,56.0,11.0,26.0,1989.45,3,12,15,1
1150,ㅼㅤㄱㅝㅀ642366,127.0959296,37.42831442,490.0,264.0,226.0,62.0,34.0,28.0,32.0,21.0,11.0,8.0,4.0,4.0,2019.38,0,0,0,0
1155,ㅼㅤㄱㅝㅀ655292,127.1109677,37.36166296,407.0,211.0,196.0,26.0,11.0,15.0,101.0,51.0,50.0,18.0,2.0,14.0,1996.22,1,0,1,1
1159,ㅼㅤㄱㅝㅀ680388,127.1387836,37.44828331,561.0,272.0,289.0,30.0,14.0,16.0,124.0,68.0,56.0,114.0,1.0,111.0,1988.43,0,17,17,1
1160,ㅼㅤㄱㅝㅀ705397,127.1670114,37.45647854,598.0,299.0,299.0,30.0,14.0,16.0,121.0,71.0,50.0,49.0,36.0,9.0,1993.22,0,12,12,1
1164,ㅼㅤㄱㅝㅀ644301,127.0985028,37.36973373,176.0,89.0,87.0,20.0,9.0,11.0,33.0,19.0,14.0,10.0,5.0,2.0,2004.0,0,0,0,0
1166,ㅼㅤㄱㅝㅀ701381,127.1625535,37.44204397,173.0,84.0,89.0,9.0,0.0,0.0,26.0,15.0,11.0,17.0,4.0,10.0,1992.53,0,12,12,1
1169,ㅼㅤㄱㅝㅀ668382,127.1252441,37.44283293,332.0,165.0,167.0,10.0,0.0,6.0,91.0,47.0,44.0,18.0,12.0,5.0,1994.33,0,8,8,1
1171,ㅼㅤㄱㅝㅀ675319,127.1334341,37.386072,357.0,189.0,168.0,37.0,19.0,18.0,59.0,31.0,28.0,16.0,15.0,1.0,2005.19,0,3,3,1
1172,ㅼㅤㄱㅝㅀ701395,127.1624968,37.454663,331.0,181.0,150.0,17.0,7.0,10.0,70.0,45.0,25.0,27.0,13.0,7.0,1996.26,1,9,10,1
1173,ㅼㅤㄱㅝㅀ709403,127.1715104,37.46189935,522.0,259.0,263.0,44.0,25.0,19.0,110.0,60.0,50.0,29.0,11.0,15.0,1994.9,0,5,5,1
1175,ㅼㅤㄱㅝㅀ687368,127.1467822,37.43028006,401.0,188.0,213.0,37.0,14.0,23.0,60.0,34.0,26.0,5.0,2.0,3.0,1996.6,0,1,1,1
1182,ㅼㅤㄱㅝㅀ669376,127.1264014,37.43742837,130.0,64.0,66.0,0.0,0.0,0.0,45.0,26.0,19.0,15.0,3.0,11.0,1993.07,1,4,5,1
