gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什64aa36ab,0.066666667,-0.5,-0.5,-1.185829605,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什64aa36ba,-1.266666667,-0.5,-0.5,-1.185829605,-0.036117381,0.211929825,0.553846154,0.52246531
木夭丑友什64aa36bb,-1.333333333,-0.5,-0.5,-0.079322404,0.30248307,0.760701754,2.546153846,0.375382314
木夭丑友什64aa37ba,-0.666666667,0,0,0.168448715,-0.279909707,-0.322807018,-0.323076923,-0.258347632
木夭丑友什64aa38bb,2,-0.5,-0.5,0.905063155,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什64ab27ab,-0.4,-0.5,-0.5,0.155266069,-0.221218962,-0.280701754,-0.323076923,-0.3774394
木夭丑友什64ab27ba,-0.6,0,0,0.815587572,-0.275395034,-0.287719298,-0.276923077,-0.526586637
木夭丑友什64ab28ba,-0.4,-0.5,-0.5,0.158877221,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什64ab28bb,-0.6,0,0,0.42883555,0.532731377,0.035087719,-0.115384615,-0.258347632
木夭丑友什64ab29aa,-0.6,-0.5,-0.5,0.42883555,-0.108352144,-0.272280702,-0.323076923,-1.270062195
木夭丑友什64ab29ab,-0.133333333,0.5,0.5,0.63448473,0.013544018,-0.150175439,-0.184615385,0.536766451
木夭丑友什64ab29ba,-0.466666667,-0.5,-0.5,0.725240972,-0.121896163,-0.268070175,-0.261538462,-0.44733994
木夭丑友什64ab29bb,-0.666666667,-0.5,-0.5,0.725240972,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什64ab30aa,-0.466666667,0,0,0.725240972,-0.054176072,-0.124912281,-0.130769231,0.252154859
木夭丑友什64ab30ab,0,-0.5,-0.5,1.027090061,0,-0.204912281,-0.215384615,-0.115225509
木夭丑友什64ab31ab,0,-0.5,-0.5,0.803036744,-0.343115124,-0.33122807,-0.323076923,-1.029431361
木夭丑友什64ab31ba,-0.333333333,-0.5,-0.5,0.694844758,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什64ab31bb,-0.8,0,0,0.638743511,-0.343115124,-0.322807018,-0.323076923,-0.526586637
木夭丑友什64ab32aa,-0.8,0.5,0.5,0.350120729,-0.257336343,-0.030877193,0.607692308,0.445282854
木夭丑友什64ab32ab,-0.6,1,1,3.106884993,0.063205418,0.501052632,1.561538462,0.337080725
木夭丑友什64ab32ba,-0.733333333,0.5,0.5,3.106884993,0.099322799,0.343859649,1.130769231,0.590755351
木夭丑友什64ab32bb,-0.6,0.5,0.5,3.106884993,-0.027088036,0.071578947,0.615384615,0.461543287
木夭丑友什64ab33aa,-0.866666667,0.5,0.5,3.262296286,-0.266365688,-0.188070175,-0.007692308,0.674820493
木夭丑友什64ab33ab,-0.866666667,4.5,4.5,2.587722561,-0.198645598,-0.042105263,0.323076923,0.968953177
木夭丑友什64ab33ba,-0.866666667,1,1,1.587566474,-0.257336343,-0.124912281,0.061538462,0.933826437
木夭丑友什64ab33bb,-0.933333333,-0.5,-0.5,1.587566474,-0.343115124,-0.312982456,-0.261538462,-0.258347632
木夭丑友什64ab34ab,-0.4,-0.5,-0.5,0.385810579,-0.343115124,-0.341052632,-0.323076923,0.274552561
木夭丑友什64ab34ba,0.2,0,0,0.548967869,-0.162528217,-0.252631579,-0.323076923,0.564374623
木夭丑友什64ab34bb,-1.2,-0.5,-0.5,0.468867649,-0.189616253,-0.103859649,-0.184615385,0.52246531
木夭丑友什64ab35bb,0.133333333,-0.5,-0.5,0.247681185,-0.316027088,-0.341052632,-0.323076923,-1.029431361
木夭丑友什64ab36aa,0.066666667,-0.5,-0.5,0.247681185,-0.284424379,-0.32,-0.323076923,-0.618070234
木夭丑友什64ab36ab,-1.333333333,-0.5,-0.5,-1.185829605,-0.158013544,-0.126315789,-0.1,-1.029431361
木夭丑友什64ab36ba,-1.2,-0.5,-0.5,-1.185829605,0.126410835,0.686315789,1.523076923,0.066008928
木夭丑友什64ab36bb,-1.333333333,-0.5,-0.5,-0.079322404,0.60496614,1.073684211,2.246153846,0.428564322
木夭丑友什64ab37aa,0.4,-0.5,-0.5,-0.079322404,-0.343115124,-0.33122807,-0.323076923,-1.681423322
木夭丑友什64ab37ab,-0.333333333,-0.5,-0.5,-0.079322404,-0.293453725,-0.321403509,-0.323076923,-0.526586637
木夭丑友什64ab37ba,-0.533333333,0,0,0.168448715,-0.230248307,-0.289122807,-0.253846154,0.125405324
木夭丑友什64ab38bb,-0.2,-0.5,-0.5,2.425279476,-0.316027088,-0.325614035,-0.323076923,-0.618070234
木夭丑友什64ab39aa,-0.266666667,-0.5,-0.5,2.425279476,-0.266365688,-0.290526316,-0.276923077,-0.115225509
木夭丑友什64ba27ab,0,1,1,0.155266069,-0.013544018,-0.176842105,-0.276923077,0.477370056
木夭丑友什64ba27ba,-0.266666667,0,0,2.041232367,-0.189616253,-0.218947368,-0.323076923,0.228878595
木夭丑友什64ba28aa,-0.533333333,-0.5,-0.5,1.966748942,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什64ba28ab,-0.4,-0.5,-0.5,0.158877221,-0.343115124,-0.341052632,-0.323076923,-0.44733994
木夭丑友什64ba28bb,-0.466666667,-0.5,-0.5,0.42883555,0.135440181,-0.120701754,-0.161538462,0
木夭丑友什64ba29aa,-0.133333333,-0.5,-0.5,0.42883555,-0.343115124,-0.341052632,-0.323076923,-0.159206268
木夭丑友什64ba29ab,-0.333333333,0,0,1.721351129,-0.221218962,-0.276491228,-0.323076923,-0.115225509
木夭丑友什64ba29ba,-0.266666667,-0.5,-0.5,0.725240972,-0.343115124,-0.341052632,-0.323076923,-0.526586637
木夭丑友什64ba29bb,-0.6,-0.5,-0.5,0.725240972,-0.343115124,-0.341052632,-0.323076923,-0.314911236
木夭丑友什64ba30aa,-0.4,0.5,0.5,0.725240972,0.406320542,0.195087719,0.053846154,0.550731064
木夭丑友什64ba30ab,-0.333333333,0,0,1.484178348,0.013544018,-0.039298246,-0.053846154,0.428564322
木夭丑友什64ba30ba,-0.533333333,-0.5,-0.5,1.049827751,-0.343115124,-0.341052632,-0.323076923,-0.258347632
木夭丑友什64ba30bb,-0.333333333,0,0,1.049827751,-0.306997743,-0.301754386,-0.269230769,0.153013496
木夭丑友什64ba31aa,-0.266666667,0,0,0.856512332,-0.212189616,-0.21754386,-0.176923077,0.428564322
木夭丑友什64ba31bb,-0.6,1,1,0.85112272,-0.343115124,-0.311578947,-0.276923077,-0.115225509
木夭丑友什64ba32aa,-0.866666667,1,1,0.85112272,-0.284424379,-0.214736842,-0.076923077,0.477370056
